"NonWhite","White"
0.945,0.029
0.19,0.804
0.917,0.078
0.282,0.718
0.719,0.234
0.226,0.752
0.611,0.338
0.827,0.15
0.163,0.809
0.495,0.462
0.008,0.962
0.257,0.72
0.955,0.019
0.32,0.644
0.736,0.22
0.439,0.524
0.093,0.839
0.226,0.754
0.188,0.72
0.51,0.442
0.118,0.822
0.035,0.951
0.558,0.418
0.11,0.86
0.975,0.015
0.526,0.433
0.154,0.802
0.048,0.943
0.025,0.949
0.104,0.878
0.509,0.488
0.977,0.005
0.959,0.041
0.061,0.932
0.06,0.936
0.357,0.618
0.601,0.342
0.367,0.574
0.145,0.838
0.627,0.331
0.8,0.18
0.222,0.708
0.122,0.825
0.023,0.97
0.085,0.896
0.67,0.314
0.028,0.966
0.934,0.066
0.969,0.017
0.997,0.003
0.672,0.316
0.547,0.445
0.054,0.909
0.363,0.607
0.242,0.726
0.127,0.869
0.454,0.537
0.987,0
0.29,0.649
0.233,0.68
0.006,0.96
0.051,0.921
0.407,0.524
0.068,0.931
0.064,0.898
0.196,0.742
0.097,0.88
0.28,0.681
0.429,0.567
0.208,0.751
