"NonWhite","White"
0.219,0.765
0.354,0.627
0.579,0.373
0.352,0.624
0.025,0.97
0.895,0.095
0.631,0.356
0.191,0.8
0.921,0.054
0.958,0.021
0.484,0.452
0.844,0.137
0.997,0.003
0.763,0.156
0.089,0.907
0.082,0.902
0.048,0.94
0.932,0.023
0.161,0.811
0.059,0.936
0.57,0.426
0.661,0.336
0.237,0.755
0.635,0.34
0.92,0.072
0.309,0.674
0.512,0.468
0.749,0.245
0.874,0.09
0.956,0.015
0.359,0.597
0.059,0.923
0.308,0.648
0.981,0.016
0.041,0.942
0.026,0.96
0.934,0.006
0.176,0.819
0.745,0.245
0.47,0.457
0.117,0.876
0.666,0.29
0.563,0.385
0.586,0.409
0.403,0.572
0.24,0.751
0.087,0.913
