"NonWhite","White"
0.145,0.839
0.348,0.648
0.776,0.213
0.437,0.549
0.126,0.866
0.134,0.836
0.129,0.853
0.329,0.668
0.35,0.64
0.112,0.851
0.425,0.575
0.157,0.812
0.817,0.147
0.403,0.578
0.198,0.762
0.988,0.013
0.897,0.094
0.957,0.024
0.963,0.037
0.656,0.317
0.359,0.631
0.336,0.632
0.38,0.609
0.392,0.592
0.348,0.642
0.973,0.026
0.972,0.025
0.342,0.641
0.84,0.139
0.7,0.269
0.108,0.877
0.379,0.615
0.189,0.799
0.149,0.838
0.081,0.91
0.507,0.492
0.196,0.791
0.129,0.864
0.524,0.473
0.566,0.426
0.493,0.468
0.266,0.714
0.617,0.358
0.299,0.688
0.242,0.745
0.392,0.574
0.043,0.947
0.642,0.324
0.901,0.067
0.037,0.953
0.506,0.466
0.114,0.834
0.112,0.877
0.065,0.915
0.04,0.942
0.039,0.957
0.001,0.995
0.939,0.061
0.037,0.958
0.825,0.175
0.89,0.09
0.095,0.893
0.485,0.515
0.837,0.143
0.962,0.034
0.507,0.46
0.11,0.884
0.877,0.12
0.214,0.779
0.294,0.688
0.439,0.554
0.608,0.358
0.084,0.86
0.592,0.391
0.33,0.62
0.873,0.117
0.879,0.104
0.466,0.51
0.149,0.838
0.119,0.862
0.14,0.751
0.112,0.847
0.117,0.819
0.135,0.776
0.45,0.481
0.548,0.371
0.368,0.572
0.635,0.324
0.599,0.36
0.559,0.377
0.1,0.841
0.209,0.739
0.197,0.674
0.244,0.704
0.15,0.828
0.376,0.572
0.3,0.631
0.154,0.824
0.796,0.171
0.136,0.844
0.316,0.67
0.28,0.705
0.261,0.7
0.281,0.693
0.296,0.667
0.138,0.854
0.524,0.43
0.015,0.981
0.608,0.384
0.699,0.292
0.979,0.021
0.511,0.488
0.754,0.238
0.577,0.408
0.724,0.276
0.417,0.536
0.638,0.356
0.874,0.123
0.613,0.367
0.981,0.006
0.816,0.172
0.928,0.073
0.893,0.097
0.699,0.279
0.57,0.416
0.818,0.183
0.91,0.082
0.905,0.071
0.889,0.084
0.722,0.278
0.923,0.049
0.795,0.197
0.768,0.199
0.371,0.591
0.552,0.388
0.079,0.918
0.13,0.847
0.97,0.03
0.916,0.084
0.785,0.211
0.102,0.872
0.311,0.684
0.392,0.585
0.563,0.418
0.292,0.701
0.486,0.485
0.731,0.214
0.117,0.848
0.237,0.758
0.971,0.029
0.031,0.93
0.447,0.529
0.439,0.514
0.361,0.585
0.218,0.778
0.049,0.928
0.744,0.24
0.602,0.347
0.133,0.838
0.024,0.971
0.002,0.997
