"NonHispanic","Hispanic"
0.975,0.005
0.917,0.079
0.977,0.012
0.781,0.205
0.912,0.08
0.858,0.032
0.966,0.016
0.986,0.002
0.556,0.098
0.811,0.071
0.051,0.017
0.707,0.209
0.457,0.525
0.618,0.375
0.726,0.174
0.35,0.592
0.285,0.665
0.19,0.757
0.43,0.47
0.887,0.068
0.744,0.156
0.637,0.329
0.652,0.292
0.794,0.132
0.737,0.16
0.516,0.412
0.739,0.233
0.414,0.582
0.613,0.38
0.469,0.523
0.686,0.273
0.916,0.074
0.907,0.056
0.998,0.002
0.694,0.278
0.365,0.622
0.473,0.49
0.467,0.447
0.353,0.631
0.298,0.682
0.09,0.91
0.215,0.777
0.53,0.465
0.235,0.765
0.267,0.729
0.04,0.955
0.859,0.066
0.752,0.205
0.108,0.874
0.332,0.642
0.83,0.083
0.352,0.634
0.092,0.908
0.749,0.198
0.295,0.66
0.187,0.812
0.017,0.983
0.452,0.538
0.912,0.06
0.299,0.662
0.436,0.501
0.724,0.232
0.822,0.142
0.065,0.929
0.035,0.96
0.37,0.628
0.265,0.723
0.717,0.258
0.562,0.384
0.685,0.282
0.804,0.151
0.739,0.224
0.498,0.449
0.177,0.816
0.303,0.684
0.635,0.313
0.212,0.781
0.457,0.509
0.485,0.492
0.759,0.219
0.711,0.267
0.735,0.23
0.865,0.106
0.628,0.364
0.894,0.09
0.809,0.135
0.36,0.623
0.417,0.489
0.306,0.666
0.629,0.352
0.738,0.177
0.18,0.816
0.652,0.309
0.705,0.282
0.535,0.408
0.887,0.064
0.591,0.324
0.848,0.126
0.722,0.238
0.518,0.464
0.252,0.74
0.53,0.409
0.477,0.477
0.556,0.43
0.959,0.018
0.787,0.135
0.808,0.162
0.69,0.301
0.464,0.507
0.707,0.237
0.38,0.603
0.364,0.622
0.903,0.081
0.919,0.049
0.878,0.064
0.921,0.055
0.894,0.069
0.724,0.24
0.776,0.205
0.866,0.094
0.972,0.029
0.746,0.245
0.929,0.047
0.984,0.016
0.853,0.12
0.734,0.256
0.809,0.154
0.926,0.054
0.967,0.017
0.911,0.074
0.863,0.136
0.868,0.129
0.663,0.32
0.237,0.742
0.307,0.662
0.946,0.039
0.78,0.214
0.908,0.08
0.918,0.068
0.917,0.074
0.885,0.114
0.91,0.072
0.958,0.035
0.517,0.48
0.678,0.313
0.87,0.086
0.942,0.038
0.872,0.103
0.948,0.029
0.842,0.145
0.809,0.102
0.989,0.001
0.914,0.048
0.942,0.026
0.981,0.004
0.946,0.026
0.744,0.056
0.842,0.058
0.718,0.147
0.865,0.107
0.932,0.047
0.91,0.083
0.972,0.002
0.877,0.117
0.751,0.244
0.724,0.276
0.624,0.329
0.955,0.023
0.836,0.113
0.538,0.439
0.942,0.026
0.668,0.289
0.965,0.003
0.881,0.095
0.904,0.07
0.905,0.057
0.781,0.175
0.908,0.055
0.886,0.046
0.754,0.226
0.854,0.054
0.585,0.367
0.877,0.06
0.957,0.029
0.768,0.175
0.911,0.059
0.639,0.339
0.519,0.44
0.906,0.042
0.962,0.027
0.965,0.015
0.982,0
0.971,0.021
0.996,0
0.999,0.001
0.991,0
0.748,0.252
0.958,0.019
0.92,0.068
0.974,0.026
0.75,0.223
0.996,0
0.956,0.011
0.978,0.003
0.989,0
0.952,0.035
0.932,0.059
0.914,0.056
0.942,0.037
0.911,0.02
0.928,0.053
1,0
0.847,0.072
0.959,0.037
0.95,0.034
0.985,0.003
0.639,0.316
0.869,0.103
0.849,0.097
0.944,0.047
0.954,0.02
0.969,0.011
0.623,0.374
0.972,0.009
0.991,0.006
0.948,0.045
0.961,0.019
0.936,0.039
0.826,0.117
0.778,0.163
