"Hispanic","White","Black","Native","Asian_Pacific"
5e-05,0.00839,0.00136,4e-05,0
0.00079,0.00648,0.00266,0,3e-05
0.00012,0.00213,0.00764,0,0
0.00205,0.00549,0.00211,0,0.00021
8e-04,0.00866,2e-05,0,0.00044
0.00032,0.00836,0.00022,8e-04,0
0.00016,0.00853,0.00044,0,0.00069
2e-05,0.00668,0.00318,9e-05,0
0.00074,0.0064,0.00275,0,1e-05
0.00056,0.00851,0.00035,0,0.00021
2e-05,0.00575,0.00421,0,2e-05
0.00069,0.00812,0.00073,6e-05,9e-05
0.0024,0.00147,0.00574,0,3e-05
0.00205,0.00578,0.00197,0,1e-05
0.00094,0.00762,0.00079,0,0.00025
0.00029,0.00013,0.00959,0,0
0.00245,0.00094,0.00652,0,0
0.00047,0.00024,0.009,5e-05,5e-05
0.00016,0.00037,0.00947,0,0
0.0012,0.00317,0.00482,0,0.00054
0.00256,0.00631,0.00063,0,4e-04
0.00154,0.00632,0.00173,5e-05,4e-05
0.00054,0.00609,0.00308,9e-05,9e-05
0.00017,0.00592,0.00343,0,0.00032
0.00074,0.00642,0.00249,5e-05,2e-04
0.00136,0.00026,0.00837,0,0
0.00129,0.00025,0.00829,0,0.00014
0.0032,0.00641,0.00012,0,1e-04
0.00742,0.00139,0.00098,0,0
0.00662,0.00269,0.00038,0,0
0.00039,0.00877,0.00026,0,0.00043
0.00214,0.00615,0.00162,0,3e-05
8e-04,0.00799,0.00099,0,1e-04
0.00068,0.00838,0.00044,1e-05,0.00036
0.00074,0.0091,2e-05,0,5e-05
0.00114,0.00492,0.00381,0,0.00012
0.00072,0.00791,0.00089,5e-05,3e-04
0.00035,0.00864,8e-04,0,0.00014
0.0048,0.00473,0.00037,0,7e-05
0.00313,0.00426,0.00224,1e-05,0.00028
0.00086,0.00468,0.00377,5e-05,0.00025
0.00038,0.00714,0.00191,0,0.00037
0.00103,0.00358,0.00478,0,0.00036
0.00029,0.00688,0.00256,1e-04,4e-05
0.00145,0.00745,0.00097,0,0
0.00102,0.00574,0.00114,0.00055,0.00121
1e-05,0.00947,0.00042,0,0
0.00048,0.00324,0.00579,4e-05,0.00011
0.00026,0.00067,0.00875,0,0
4e-05,0.00953,0.00028,5e-05,0
0.00026,0.00466,0.00427,0,0.00053
0.00042,0.00834,0.00059,0,0.00013
0.00027,0.00877,6e-04,0,0.00025
0.00015,0.00915,1e-04,0,4e-04
0,0.00942,4e-04,0,0
0.00021,0.00957,0.00012,4e-05,2e-05
0,0.00995,1e-05,0,0
1e-05,0.00061,0.00934,0,4e-05
0,0.00958,0.00033,4e-05,0
0.00252,0.00175,0.00527,0,0.00046
0.00019,9e-04,0.00867,3e-05,1e-05
0.00068,0.00893,2e-04,0,7e-05
0.00026,0.00515,0.00459,0,0
0.00223,0.00143,0.00606,7e-05,1e-05
0,0.00034,0.0084,0,0.00122
0.00011,0.0046,0.00471,0,0.00025
0.00022,0.00884,0.00088,0,0
0.00038,0.0012,0.00839,0,0
0.00034,0.00779,0.00163,0,0.00017
0,0.00688,0.00292,2e-05,0
0.00189,0.00554,0.00215,0.00035,0
0,0.00358,0.00597,0.00011,0
6e-05,0.0086,0.00076,0,2e-05
0.00196,0.00391,0.00396,0,0
0.00042,0.0062,0.00278,7e-05,3e-05
0,0.00117,0.00854,1e-05,0.00018
0.00069,0.00104,0.0081,0,0
0.00091,0.0051,0.00342,0.00033,0
0.00066,0.00838,0.00068,3e-05,0.00012
0.00015,0.00862,0.00095,0,9e-05
0.00031,0.00751,1e-04,0.00099,0
0.00038,0.00847,0,0.00074,0
0.00014,0.00819,3e-05,0.001,0
7e-04,0.00776,8e-05,5e-04,7e-05
0.00024,0.00481,0.00237,0.00181,8e-05
0.00035,0.00371,0.0042,9e-04,3e-05
0.0016,0.00572,0.00102,0.00045,0.00061
0.00585,0.00324,1e-04,0.00036,4e-05
0.00564,0.0036,0,0.00032,3e-05
0.00453,0.00377,0.00051,0.00044,0.00011
0.00036,0.00841,7e-05,9e-05,0.00048
