"Hispanic","White","Black","Native","Asian_Pacific"
0.00098,0.00302,0.00115,0.00191,0.00139
0.00071,0.00443,0.00153,0.00043,0.00215
0.00017,0.00036,4e-05,0.00912,0.00011
0.00209,0.00702,5e-05,0.00064,0
0.00525,0.00451,4e-05,1e-05,2e-05
0.00375,0.00518,0.00061,4e-05,0.00039
0.00174,0.00629,0.00072,0.00031,0.00025
0.00592,0.00154,0.00097,0.00018,0.00099
0.00665,0.00222,0.00063,0.00028,0
0.00757,0.00165,0.00019,0.00042,6e-05
0.0047,0.00286,0.0013,0.00065,0.00014
0.00068,0.00875,0,0.00029,0.00012
0.00156,0.00676,0.00025,0.00069,0.00043
0.00329,0.0057,2e-04,0,0.00047
0.00292,0.00577,0.00033,0.00036,0.00042
0.00132,0.00749,0.00035,3e-05,1e-04
0.0016,0.00722,7e-05,5e-04,8e-05
0.00412,0.00451,0.00037,0.00025,0.00028
0.00233,0.00651,0.00013,0.00011,0.00075
0.00582,0.00414,0,0,0
0.0038,0.00487,0.00071,3e-05,0.00055
0.00523,0.00444,9e-05,2e-05,0.00016
0.00273,0.00659,2e-04,0.00014,7e-05
0.00278,0.00302,0.00297,0,0.00095
0.00622,0.00294,0.00047,0,0.00024
0.0049,0.00462,1e-05,0.00016,1e-04
0.00447,0.00288,0.00124,0.00023,0.00055
0.00631,0.00334,0.00019,2e-05,0
0.00682,0.00277,0.00018,4e-05,3e-05
0.0091,0.00065,0.00023,0,2e-05
0.00777,0.00052,0.00025,2e-05,0.00138
0.00465,0.00494,1e-04,3e-05,0.00026
0.00765,0.00157,0.00048,0,3e-04
0.00729,0.00021,0,0,0.00246
0.00955,0.00022,0,4e-05,0.00018
0.00066,0.00417,0.00041,0,0.00401
0.00205,0.00216,0.00513,0.00011,0.00023
0.00874,0.00043,0.00048,0.00012,0.00017
0.00642,0,0.00332,0,0
0.00083,0.0075,0.00039,0,0.00041
0.00634,0.00258,0.00024,0,7e-04
0.00908,0.00068,0,0,0.00024
0.00198,0.00567,0.00029,0,0.00153
0.0066,0.00152,0.00061,8e-05,0.00082
0.00812,0.00033,0,0,0.00154
0.00983,0.00011,6e-05,0,0
0.00538,0.00015,0.00423,0,0.00014
6e-04,0.00161,0.00054,2e-05,0.00697
0.00662,0.00057,8e-04,2e-05,0.00162
0.00501,0.00267,0.00035,0.00013,0.00134
0.00232,0.00711,2e-05,0,0.00011
0.00142,0.00663,8e-05,0,0.00151
0.00929,0.00049,0,1e-05,0.00016
0.0096,7e-05,0,1e-05,0.00028
0.00628,0.00278,5e-05,0,0.00087
0.00723,0.00153,0.00015,2e-05,0.00097
0.00258,0.00106,0,0.00021,0.00611
0.00384,0.00411,0.00151,0.00024,0
0.00282,0.00664,9e-05,8e-05,0.00012
0.00151,0.00678,0.00044,0,0.00082
0.00224,0.0061,0.00023,0,0.00106
0.00449,0.00442,0.00013,1e-04,0.00043
0.00816,0.00111,0.00016,0,5e-04
0.00684,0.00146,0.00061,0,0.00096
0.00313,0.00289,0.00062,7e-05,0.00284
0.00781,0.00178,0.00023,0,0.00011
0.00509,0.003,0.00109,1e-05,0.00048
0.00492,0.00261,4e-04,1e-04,0.00184
0.00219,0.00738,0.00012,3e-05,9e-05
0.00267,0.00552,0.00082,0,0.00077
0.0023,0.00486,0.00081,0.00015,0.00168
0.00106,0.00831,3e-05,0,0.00031
0.00364,0.00497,0.00118,1e-05,0.00013
9e-04,0.00606,0.00042,0,0.00246
0.00135,0.00656,8e-05,1e-05,0.00145
0.00623,0.00258,0.00029,0,0.00073
0.00489,0.00119,0.00192,0.00029,0.00106
0.00666,0.00065,0.00086,5e-05,0.00155
0.00352,0.00267,0.00123,5e-05,0.00239
0.00177,0.00253,0.00045,0,0.0044
0.00816,0.00069,4e-04,0,0.00071
0.00309,0.00086,0,0,0.00566
0.00282,0.00243,0.00011,0,0.00451
0.00408,0.00243,0.00038,0,0.00254
0.00064,0.00157,0.00167,2e-05,0.00563
0.00324,0.0027,0.00206,6e-05,0.00115
0.00126,0.00812,6e-05,7e-05,3e-04
0.00238,0.0063,0.00024,0,0.00068
0.00464,0.00502,0.00014,1e-04,2e-05
0.0074,0.0015,0.00022,0,8e-04
0.00409,0.00438,2e-04,0.00012,0.00072
0.00477,0.00283,0.00166,7e-05,0.00028
0.0043,0.00281,0.00219,7e-05,0.00056
0.00018,0.0093,0,0,0.00029
0.00135,0.00437,0.00342,2e-04,8e-05
0.00162,0.00761,0.00046,7e-05,1e-05
0.00301,0.0069,0,3e-05,0
0.00507,0.00457,7e-05,0.00024,0
0.00237,0.00696,0.00011,0,0
0.00603,0.00374,6e-05,0,0
0.00622,0.00317,0,0,0.00047
0.00056,0.00513,2e-05,0,0.00229
0.00058,0.0043,0.00074,0,0.00338
0.00147,0.00147,1e-05,3e-05,0.0057
0.00107,0.00767,0.00035,0,0.00063
0.00047,0.00928,0,0,4e-05
0.00083,0.00888,0,1e-05,0.00022
0.00077,0.0079,1e-05,0.00108,0.00013
0.00043,0.00838,2e-05,9e-04,1e-04
0.00818,0.00094,0.00081,0,6e-05
0.00047,0.00882,0,3e-04,0.00017
0.00246,0.00355,0.00256,5e-05,0.00087
0.00242,0.00667,0.00036,3e-05,0.00029
0.00778,0.00193,2e-05,8e-05,1e-05
0.00428,0.00565,0,0,0
0.00188,0.00709,7e-05,0.00067,5e-05
0.0026,0.0072,0,0,0
0.00035,0.00945,5e-05,3e-05,1e-05
0.00131,0.00796,0.00029,9e-05,7e-05
0.00127,0.00767,0.00055,4e-05,0.00019
0.00327,0.00579,3e-05,4e-05,0.00038
0.00073,0.00661,0.00048,0.00022,0.0012
0.00254,0.00637,7e-05,0,0.00076
0.00069,0.00905,0.00016,0,5e-05
0.00123,0.00797,2e-05,0,0.00042
0.00125,0.00827,0.00016,0,0.00026
0.00321,0.00642,2e-05,1e-05,0.00024
0.00236,0.00728,3e-05,1e-05,7e-05
0.00092,0.00772,0.00035,0.00026,0.00026
0.0075,0.00194,0.00021,1e-05,3e-04
0.0017,0.00746,3e-05,0.00051,1e-05
0.00077,0.00517,0.00212,0.00028,0.00098
0.00137,0.00464,0.00128,2e-05,0.00153
0.00277,0.0056,0.00076,1e-04,0.00034
0.001,0.00723,0.00043,1e-04,0.00041
0.00171,0.00793,1e-05,5e-05,7e-05
5e-04,0.00914,0.00018,0,3e-05
