"Hispanic","White","Black","Native","Asian_Pacific"
0.005,0.839,0.136,0.004,0
0.079,0.648,0.266,0,0.003
0.012,0.213,0.764,0,0
0.205,0.549,0.211,0,0.021
0.08,0.866,0.002,0,0.044
0.032,0.836,0.022,0.08,0
0.016,0.853,0.044,0,0.069
0.002,0.668,0.318,0.009,0
0.098,0.302,0.115,0.191,0.139
0.071,0.443,0.153,0.043,0.215
0.017,0.036,0.004,0.912,0.011
0.209,0.702,0.005,0.064,0
0.525,0.451,0.004,0.001,0.002
0.375,0.518,0.061,0.004,0.039
0.174,0.629,0.072,0.031,0.025
0.592,0.154,0.097,0.018,0.099
0.665,0.222,0.063,0.028,0
0.757,0.165,0.019,0.042,0.006
0.47,0.286,0.13,0.065,0.014
0.068,0.875,0,0.029,0.012
0.156,0.676,0.025,0.069,0.043
0.329,0.57,0.02,0,0.047
0.292,0.577,0.033,0.036,0.042
0.132,0.749,0.035,0.003,0.01
0.16,0.722,0.007,0.05,0.008
0.412,0.451,0.037,0.025,0.028
0.233,0.651,0.013,0.011,0.075
0.582,0.414,0,0,0
0.38,0.487,0.071,0.003,0.055
0.523,0.444,0.009,0.002,0.016
0.273,0.659,0.02,0.014,0.007
0.074,0.64,0.275,0,0.001
0.056,0.851,0.035,0,0.021
0.002,0.575,0.421,0,0.002
0.278,0.302,0.297,0,0.095
0.622,0.294,0.047,0,0.024
0.49,0.462,0.001,0.016,0.01
0.447,0.288,0.124,0.023,0.055
0.631,0.334,0.019,0.002,0
0.682,0.277,0.018,0.004,0.003
0.91,0.065,0.023,0,0.002
0.777,0.052,0.025,0.002,0.138
0.465,0.494,0.01,0.003,0.026
0.765,0.157,0.048,0,0.03
0.729,0.021,0,0,0.246
0.955,0.022,0,0.004,0.018
0.066,0.417,0.041,0,0.401
0.205,0.216,0.513,0.011,0.023
0.874,0.043,0.048,0.012,0.017
0.642,0,0.332,0,0
0.083,0.75,0.039,0,0.041
0.634,0.258,0.024,0,0.07
0.908,0.068,0,0,0.024
0.198,0.567,0.029,0,0.153
0.66,0.152,0.061,0.008,0.082
0.812,0.033,0,0,0.154
0.983,0.011,0.006,0,0
0.538,0.015,0.423,0,0.014
0.06,0.161,0.054,0.002,0.697
0.662,0.057,0.08,0.002,0.162
0.501,0.267,0.035,0.013,0.134
0.232,0.711,0.002,0,0.011
0.142,0.663,0.008,0,0.151
0.929,0.049,0,0.001,0.016
0.96,0.007,0,0.001,0.028
0.628,0.278,0.005,0,0.087
0.723,0.153,0.015,0.002,0.097
0.258,0.106,0,0.021,0.611
0.384,0.411,0.151,0.024,0
0.282,0.664,0.009,0.008,0.012
0.151,0.678,0.044,0,0.082
0.224,0.61,0.023,0,0.106
0.449,0.442,0.013,0.01,0.043
0.816,0.111,0.016,0,0.05
0.684,0.146,0.061,0,0.096
0.313,0.289,0.062,0.007,0.284
0.781,0.178,0.023,0,0.011
0.509,0.3,0.109,0.001,0.048
0.492,0.261,0.04,0.01,0.184
0.219,0.738,0.012,0.003,0.009
0.267,0.552,0.082,0,0.077
0.23,0.486,0.081,0.015,0.168
0.106,0.831,0.003,0,0.031
0.364,0.497,0.118,0.001,0.013
0.09,0.606,0.042,0,0.246
0.135,0.656,0.008,0.001,0.145
0.623,0.258,0.029,0,0.073
0.489,0.119,0.192,0.029,0.106
0.666,0.065,0.086,0.005,0.155
0.352,0.267,0.123,0.005,0.239
0.177,0.253,0.045,0,0.44
0.816,0.069,0.04,0,0.071
0.309,0.086,0,0,0.566
0.282,0.243,0.011,0,0.451
0.408,0.243,0.038,0,0.254
0.064,0.157,0.167,0.002,0.563
0.324,0.27,0.206,0.006,0.115
0.126,0.812,0.006,0.007,0.03
0.238,0.63,0.024,0,0.068
0.464,0.502,0.014,0.01,0.002
0.74,0.15,0.022,0,0.08
0.409,0.438,0.02,0.012,0.072
0.477,0.283,0.166,0.007,0.028
0.43,0.281,0.219,0.007,0.056
0.018,0.93,0,0,0.029
0.135,0.437,0.342,0.02,0.008
0.162,0.761,0.046,0.007,0.001
0.301,0.69,0,0.003,0
0.507,0.457,0.007,0.024,0
0.237,0.696,0.011,0,0
0.603,0.374,0.006,0,0
0.622,0.317,0,0,0.047
0.081,0.765,0.036,0,0.102
0.049,0.627,0.276,0.013,0.016
0.064,0.373,0.416,0.01,0.089
0.055,0.624,0.069,0,0.228
0.069,0.812,0.073,0.006,0.009
0.24,0.147,0.574,0,0.003
0.205,0.578,0.197,0,0.001
0.094,0.762,0.079,0,0.025
0.029,0.013,0.959,0,0
0.245,0.094,0.652,0,0
0.047,0.024,0.9,0.005,0.005
0.016,0.037,0.947,0,0
0.12,0.317,0.482,0,0.054
0.256,0.631,0.063,0,0.04
0.154,0.632,0.173,0.005,0.004
0.054,0.609,0.308,0.009,0.009
0.017,0.592,0.343,0,0.032
0.074,0.642,0.249,0.005,0.02
0.136,0.026,0.837,0,0
0.129,0.025,0.829,0,0.014
0.32,0.641,0.012,0,0.01
0.742,0.139,0.098,0,0
0.662,0.269,0.038,0,0
0.039,0.877,0.026,0,0.043
0.214,0.615,0.162,0,0.003
0.08,0.799,0.099,0,0.01
0.068,0.838,0.044,0.001,0.036
0.074,0.91,0.002,0,0.005
0.114,0.492,0.381,0,0.012
0.072,0.791,0.089,0.005,0.03
0.035,0.864,0.08,0,0.014
0.48,0.473,0.037,0,0.007
0.313,0.426,0.224,0.001,0.028
0.086,0.468,0.377,0.005,0.025
0.038,0.714,0.191,0,0.037
0.103,0.358,0.478,0,0.036
0.029,0.688,0.256,0.01,0.004
0.145,0.745,0.097,0,0
0.102,0.574,0.114,0.055,0.121
0.001,0.947,0.042,0,0
0.048,0.324,0.579,0.004,0.011
0.026,0.067,0.875,0,0
0.004,0.953,0.028,0.005,0
0.026,0.466,0.427,0,0.053
0.056,0.513,0.002,0,0.229
0.058,0.43,0.074,0,0.338
0.147,0.147,0.001,0.003,0.57
0.107,0.767,0.035,0,0.063
0.047,0.928,0,0,0.004
0.083,0.888,0,0.001,0.022
0.002,0.029,0.943,0,0
0.117,0.804,0.021,0,0.052
0.244,0.078,0.668,0,0.005
0.276,0.718,0.005,0,0.001
0.329,0.234,0.39,0,0
0.023,0.752,0.203,0,0
0.113,0.338,0.459,0,0.039
0.439,0.15,0.381,0,0.007
0.026,0.809,0.113,0.004,0.02
0.289,0.462,0.187,0,0.019
0.003,0.962,0.003,0.002,0
0.095,0.72,0.141,0.001,0.02
0.07,0.019,0.885,0,0
0.057,0.644,0.232,0.002,0.029
0.175,0.22,0.559,0,0.002
0.055,0.524,0.382,0,0.002
0.046,0.839,0.033,0,0.014
0.226,0.754,0,0,0
0.054,0.72,0.134,0,0
0.367,0.442,0.124,0,0.019
0.06,0.822,0.052,0.003,0.003
0.029,0.951,0.001,0,0.005
0.175,0.418,0.341,0.033,0.009
0.059,0.86,0.037,0,0.014
0.339,0.015,0.624,0.012,0
0.44,0.433,0.086,0,0
0.042,0.834,0.059,0,0.013
0.027,0.877,0.06,0,0.025
0.015,0.915,0.01,0,0.04
0,0.942,0.04,0,0
0.021,0.957,0.012,0.004,0.002
0,0.995,0.001,0,0
0.001,0.061,0.934,0,0.004
0,0.958,0.033,0.004,0
0.252,0.175,0.527,0,0.046
0.019,0.09,0.867,0.003,0.001
0.068,0.893,0.02,0,0.007
0.026,0.515,0.459,0,0
0.223,0.143,0.606,0.007,0.001
0,0.034,0.84,0,0.122
0.011,0.46,0.471,0,0.025
0.003,0.97,0.003,0.014,0.005
